id1	id2	cell_type	coefficient	statistic	z_score
E-MTAB-5061	GSE81608	alpha	rho_p	0.0818583330043669	342.732664485908
E-MTAB-5061	GSE84133_human	alpha	rho_p	0.110559185551445	41.9952791906241
GSE81547	GSE81608	alpha	rho_p	0.101854353009416	354.776796113288
GSE81547	GSE84133_human	alpha	rho_p	0.0956630641943163	37.4747799001545
GSE85241	GSE81608	beta	spearman	0.040669879556808	11.1342419577083
GSE81608	GSE84133_human	alpha	rho_p	0.049423916251701	23.2390568804244
GSE85241	E-MTAB-5061	beta	rho_p	0.0394150563945874	133.897436407492
GSE85241	GSE81547	beta	rho_p	0.08069317648463	158.627293343152
GSE85241	GSE81608	beta	rho_p	0.0548394351937959	237.208456879991
GSE85241	GSE84133_human	beta	rho_p	-0.0331447554566724	-4.9617728922271
E-MTAB-5061	GSE81547	beta	rho_p	0.0718562167674218	227.650764618376
E-MTAB-5061	GSE81608	beta	rho_p	0.0369097295414327	166.808814722539
E-MTAB-5061	GSE84133_human	beta	rho_p	0.0764288033309954	42.3468394689333
GSE81547	GSE81608	beta	rho_p	0.0686995705469563	223.726444232441
GSE81547	GSE84133_human	beta	rho_p	0.0893229448838939	37.9214720454871
GSE85241	GSE84133_human	beta	spearman	0.433279234132288	38.1372527397618
GSE81608	GSE84133_human	beta	rho_p	0.0340863809337734	24.7551619212578
GSE85241	E-MTAB-5061	delta	rho_p	0.0256315642508981	80.3725394498169
GSE85241	GSE81547	delta	rho_p	0.0503538257341848	167.94486808433
GSE85241	GSE81608	delta	rho_p	0.0308287488377953	152.356275886949
GSE85241	GSE84133_human	delta	rho_p	-0.0396488106489046	-7.11057474897102
E-MTAB-5061	GSE81547	delta	rho_p	0.0335973089031752	99.4646007201183
E-MTAB-5061	GSE81608	delta	rho_p	0.01234710121228	58.9989108962687
E-MTAB-5061	GSE84133_human	delta	rho_p	0.0516671077857211	40.1800831559607
GSE81547	GSE81608	delta	rho_p	0.0185010760331844	60.9902152858956
GSE81547	GSE84133_human	delta	rho_p	0.0575111151821012	35.9716432019625
E-MTAB-5061	GSE81547	beta	spearman	0.0389274787721545	9.62097636252837
GSE81608	GSE84133_human	delta	rho_p	0.0110096981792006	7.9491388123164
GSE85241	E-MTAB-5061	alpha	zi_kendall	0.549984938050167	74.7945626979341
GSE85241	GSE81547	alpha	zi_kendall	0.391058672654289	64.096175205542
GSE85241	GSE81608	alpha	zi_kendall	0.504418256465339	77.7730951530301
GSE85241	GSE84133_human	alpha	zi_kendall	0.166712472982178	20.2646829459157
E-MTAB-5061	GSE81547	alpha	zi_kendall	0.449676163313607	67.3199728963557
E-MTAB-5061	GSE81608	alpha	zi_kendall	0.504676043019429	102.784776100961
E-MTAB-5061	GSE84133_human	alpha	zi_kendall	0.129651702269557	18.8105304021208
GSE81547	GSE81608	alpha	zi_kendall	0.451062787093069	78.6041417453654
GSE81547	GSE84133_human	alpha	zi_kendall	0.318823145912389	40.1487719340749
E-MTAB-5061	GSE81608	beta	spearman	0.0601889578005114	26.8131222471295
GSE81608	GSE84133_human	alpha	zi_kendall	0.166487029272708	22.8376610287192
GSE85241	E-MTAB-5061	beta	zi_kendall	0.457753143010162	68.5655209277398
GSE85241	GSE81547	beta	zi_kendall	0.273796567268471	37.6228784707115
GSE85241	GSE81608	beta	zi_kendall	0.443886369887456	67.3218534358855
GSE85241	GSE84133_human	beta	zi_kendall	0.184259033136116	19.6763184780408
E-MTAB-5061	GSE81547	beta	zi_kendall	0.385515621604494	53.3965006479146
E-MTAB-5061	GSE81608	beta	zi_kendall	0.427470188975023	65.8710378717654
E-MTAB-5061	GSE84133_human	beta	zi_kendall	0.152083762080509	20.4299762295817
GSE81547	GSE81608	beta	zi_kendall	0.359424280689084	50.5601745523211
GSE81547	GSE84133_human	beta	zi_kendall	0.299246390538799	32.3320274810958
E-MTAB-5061	GSE84133_human	beta	spearman	0.0447792015396278	5.74954761385759
GSE81608	GSE84133_human	beta	zi_kendall	0.190754826988606	21.3523260903245
GSE85241	E-MTAB-5061	delta	zi_kendall	0.456575256984086	76.334395722611
GSE85241	GSE81547	delta	zi_kendall	0.235347357021217	35.3818889094231
GSE85241	GSE81608	delta	zi_kendall	0.357205307965635	75.6134890036272
GSE85241	GSE84133_human	delta	zi_kendall	0.154388706574977	22.3655088316295
E-MTAB-5061	GSE81547	delta	zi_kendall	0.245365816955223	39.4559753960208
E-MTAB-5061	GSE81608	delta	zi_kendall	0.339543251457153	75.9293152032085
E-MTAB-5061	GSE84133_human	delta	zi_kendall	0.108185740363922	16.2806149918722
GSE81547	GSE81608	delta	zi_kendall	0.210595259473305	44.7266524037046
GSE81547	GSE84133_human	delta	zi_kendall	0.262566184223543	45.5880781761985
GSE81547	GSE81608	beta	spearman	0.0468089440527486	19.1738185975998
GSE81608	GSE84133_human	delta	zi_kendall	0.134120255441277	21.0407069856085
GSE85241	E-MTAB-5061	alpha	MI	0.061081432078063	8.2230264196113
GSE85241	GSE81547	alpha	MI	0.05179469047014	7.43038284693484
GSE85241	GSE81608	alpha	MI	0.00793972518270891	1.11457234306551
GSE85241	GSE84133_human	alpha	MI	0.330442626524045	25.6395408264867
E-MTAB-5061	GSE81547	alpha	MI	0.0728137940770359	10.8731004551401
E-MTAB-5061	GSE81608	alpha	MI	0.0170594552649194	2.99904047645602
E-MTAB-5061	GSE84133_human	alpha	MI	0.0519614889181527	5.17572289373605
GSE81547	GSE81608	alpha	MI	0.0210674788990578	3.396090501959
GSE81547	GSE84133_human	alpha	MI	0.142528210671927	13.7782476546345
GSE81547	GSE84133_human	beta	spearman	0.262118358016004	27.4972717445594
GSE81608	GSE84133_human	alpha	MI	0.000579264744179295	0.0798158107234978
GSE85241	E-MTAB-5061	beta	MI	0.0948543092312649	16.0269389994566
GSE85241	GSE81547	beta	MI	0.0982478867641772	13.7616886240024
GSE85241	GSE81608	beta	MI	0.0481221629415523	7.75398558066233
GSE85241	GSE84133_human	beta	MI	0.303190380224551	22.7740844982288
E-MTAB-5061	GSE81547	beta	MI	0.0734671783706847	15.0455764720877
E-MTAB-5061	GSE81608	beta	MI	0.0296878161843648	7.96356871593283
E-MTAB-5061	GSE84133_human	beta	MI	0.0757791136255976	7.94040077299614
GSE81547	GSE81608	beta	MI	0.0280180040545137	5.59750782671431
GSE81547	GSE84133_human	beta	MI	0.142370809638693	16.1883932479844
E-MTAB-5061	GSE81547	alpha	pearson	0.125596885084075	93.3941530764332
GSE81608	GSE84133_human	beta	spearman	0.0247504741644456	4.63110134113966
GSE81608	GSE84133_human	beta	MI	-0.00415540090939258	-0.427015927409377
GSE85241	E-MTAB-5061	delta	MI	0.0171568578377085	3.86903595406441
GSE85241	GSE81547	delta	MI	0.105080347881917	17.1791698374285
GSE85241	GSE81608	delta	MI	0.147210714163421	24.8902030973956
GSE85241	GSE84133_human	delta	MI	0.23728138110908	20.5852294400902
E-MTAB-5061	GSE81547	delta	MI	0.0119447944996594	3.20378850370197
E-MTAB-5061	GSE81608	delta	MI	0.0126527856426698	3.95120101209579
E-MTAB-5061	GSE84133_human	delta	MI	0.0168772595156178	2.7930016693468
GSE81547	GSE81608	delta	MI	0.0300086422596412	7.21022762223217
GSE81547	GSE84133_human	delta	MI	0.0590621107431379	7.83752986516063
GSE85241	E-MTAB-5061	delta	spearman	0.0276380610362092	6.04010988765469
GSE81608	GSE84133_human	delta	MI	0.0480243262472607	7.40731457401564
GSE85241	GSE81547	delta	spearman	0.109817560068212	18.142417272769
GSE85241	GSE81608	delta	spearman	0.0252634224820047	8.60231871888775
GSE85241	GSE84133_human	delta	spearman	0.291357116017273	26.6087667970431
E-MTAB-5061	GSE81547	delta	spearman	0.0540448037570164	19.291353108863
E-MTAB-5061	GSE81608	delta	spearman	0.0145203093590455	8.84958706727865
E-MTAB-5061	GSE84133_human	delta	spearman	0.0550922538126111	12.19326807909
GSE81547	GSE81608	delta	spearman	0.0208424182672819	8.99814355065153
GSE81547	GSE84133_human	delta	spearman	0.0719525339226751	11.2532161212553
E-MTAB-5061	GSE81608	alpha	pearson	0.0595380068585226	131.539390381982
GSE81608	GSE84133_human	delta	spearman	0.0051927807642642	1.39317013741831
GSE85241	E-MTAB-5061	alpha	kendall	-0.0972326982297399	-16.103793966366
GSE85241	GSE81547	alpha	kendall	0.195823271474322	31.7308663851361
GSE85241	GSE81608	alpha	kendall	0.0606769917465685	13.5087296743521
GSE85241	GSE84133_human	alpha	kendall	0.369682832316489	35.1519944360009
E-MTAB-5061	GSE81547	alpha	kendall	0.0865009308089937	29.0233184546125
E-MTAB-5061	GSE81608	alpha	kendall	0.0923550265374144	34.0063510828598
E-MTAB-5061	GSE84133_human	alpha	kendall	0.0810205017280279	15.2628323300454
GSE81547	GSE81608	alpha	kendall	0.0936245785622891	35.36846469208
GSE81547	GSE84133_human	alpha	kendall	0.247861764632639	33.1524440556868
E-MTAB-5061	GSE84133_human	alpha	pearson	0.134916968961963	47.1027947509234
GSE81608	GSE84133_human	alpha	kendall	0.10150592464867	19.6072683877706
GSE85241	E-MTAB-5061	beta	kendall	-0.0200195715136951	-4.28403155337987
GSE85241	GSE81547	beta	kendall	0.131970230090127	20.7919833054911
GSE85241	GSE81608	beta	kendall	0.0198749242809025	5.87405580129339
GSE85241	GSE84133_human	beta	kendall	0.406000220999532	38.0607740514441
E-MTAB-5061	GSE81547	beta	kendall	0.0385174770410362	9.69234233894522
E-MTAB-5061	GSE81608	beta	kendall	0.0646240681105383	28.7297498224463
E-MTAB-5061	GSE84133_human	beta	kendall	0.0507264848305399	6.83313732622117
GSE81547	GSE81608	beta	kendall	0.0454103366506842	18.7647208488389
GSE81547	GSE84133_human	beta	kendall	0.237399950858982	26.5172455642215
GSE81547	GSE81608	alpha	pearson	0.0858301211507494	56.3511364974553
GSE81608	GSE84133_human	beta	kendall	0.0169807429111058	3.32479027499833
GSE85241	E-MTAB-5061	delta	kendall	0.0129257034577377	2.9512636469973
GSE85241	GSE81547	delta	kendall	0.0948341781369578	16.5476491051449
GSE85241	GSE81608	delta	kendall	0.0155223927960454	5.53020899417677
GSE85241	GSE84133_human	delta	kendall	0.264084332024422	25.7983298767377
E-MTAB-5061	GSE81547	delta	kendall	0.0534144868069926	18.9054465897808
E-MTAB-5061	GSE81608	delta	kendall	0.0143364003213933	8.89562002534829
E-MTAB-5061	GSE84133_human	delta	kendall	0.0558175046172178	12.9529977040318
GSE81547	GSE81608	delta	kendall	0.0205526872479175	8.85652295721102
GSE81547	GSE84133_human	delta	kendall	0.0611249250748691	10.0862074767102
GSE81547	GSE84133_human	alpha	pearson	0.314027133194838	34.930636484651
GSE81608	GSE84133_human	delta	kendall	0.003056909192349	0.88936119346601
GSE85241	E-MTAB-5061	alpha	bicor	0.153559231324417	30.2453320156318
GSE85241	GSE81547	alpha	bicor	0.118627705851238	26.7408831942738
GSE85241	GSE81608	alpha	bicor	0.130117442897902	41.9137157363833
GSE85241	GSE84133_human	alpha	bicor	0.371164240071012	35.6806046348007
E-MTAB-5061	GSE81547	alpha	bicor	0.0722249352781587	20.271026850633
E-MTAB-5061	GSE81608	alpha	bicor	0.0962445751383343	53.573146384958
E-MTAB-5061	GSE84133_human	alpha	bicor	0.0973663006697235	18.9235896167035
GSE81547	GSE81608	alpha	bicor	0.0590278160749647	28.9965253878205
GSE81547	GSE84133_human	alpha	bicor	0.207648265493143	29.9877294063864
